lon,lat,alt,orden
-107.5420773,24.6773796,20,0
-107.5420773,24.6773796,20,1
-107.54205701895759,24.6773346,20,2
-107.54148741930584,24.6773346,20,3
-107.54153953053074,24.677289599999998,20,4
-107.54203673791517,24.677289599999998,20,5
-107.54201645687276,24.677244599999998,20,6
-107.5416077281135,24.677244599999998,20,7
-107.54167592569627,24.677199599999998,20,8
-107.54199617583035,24.677199599999998,20,9
-107.54201273759436,24.677154599999998,20,10
-107.54174412327903,24.677154599999998,20,11
-107.54176202553191,24.677109599999998,20,12
-107.54204904106693,24.677109599999998,20,13
-107.5420853445395,24.677064599999998,20,14
-107.54176286329788,24.677064599999998,20,15
-107.54176370106383,24.677019599999998,20,16
-107.54212164801208,24.677019599999998,20,17
-107.54201354333331,24.676974599999998,20,18
-107.5417645388298,24.676974599999998,20,19
